Anasagasti
Crespi
Hispano-Argentina
IAME
IKA
Elfin
FPV
Holden
Austro-Daimler
Austro-Fiat
Austro-Tatra
Denzel
Felber
KTM
Libelle
Lohner-Porsche
Magna Steyr
Möve
Puch
Steyr-Daimler-Puch
Auto-Mixte
Gillet
Nagant
Pieper
Agrale
Lobini
TAC
Troller
Gurgel
Puma
Angkor
Bricklin
Derby
Studebaker
Crobus
DOK-ING
Rimac
Aero
Avia
Kaipan
Praga
Skoda
Tatra
Aérocarène
Aixam
Alpine
Bollore
Bugatti
Citroen
Exagon
Hommell
Ligier
Matra
Microcar
MDI
Peugeot
PGO
Renault
Venturi
AC Schnitzer
Adler
AGA
Audi
AWZ
Barkas
Bitter
BMW
Borgward
Büssing
DKW
Glas
Goliath
Gumpert
Hansa
Heinkel
Horch
Lloyd
Maybach
MAN
Mansory
Mercedes-Benz
Multicar
NAG
Neoplan
NSU
Opel
Porsche
Robur
RUF
Simson
Trabant
Volkswagen
Wanderer
Wartburg
Wiesmann
Attica
Ashok Leyland
Bajaj
Bharat
Chinkara
DC
Eicher
Escorts
Force
Hero
Hindustan
ICML
Mahindra
Maruti Suzuki
Premier
Royal Enfield
San
Swaraj
TAFE
Tata
TVS
Bahman
Iran Khodro
Kish Khodro
MVM
Pars Khodro
SAIPA
AIL
Autocars
Plasan
Abarth
Alfa Romeo
Autobianchi
Cizeta
De Tomaso
DR Motor
Ferrari
Fiat
Intermeccanica
Lamborghini
Lancia
Maserati
Pagani
Siata
Vignale
Acura
Daihatsu
Datsun
Dome
Hino
Honda
Infiniti
Isuzu
Lexus
Mazda
Mitsubishi
Mitsuoka
Nissan
Scion
Subaru
Suzuki
Toyota
Yamaha
Asahi
Ohta
Otomo
Prince
Tommykaira
Bufori
Inokom
Naza
Perodua
Proton
DINA
Italika
Mastretta
Tranvias-Cimex
Vuhl
Ramirez
VAM
Venturi[1]
ABS
AllStoff
Alphax
Amfibug
APTS
Bikkel
Burton
Burtwell
Charon
Cygnus
Dakar
DAF
Donkervoort
Hansen
HB
Isis
KS
Le Patron
Motorious
Nova
Savage
Soleil
Spijkstaal
Spyker
Trigger
Vandenbrink
VDL Berkhof
Vencer
Voglietta
Arrinera
FSO
FSC ?uk
Syrena
Warszawa
ZSD Nysa
Dacia
ROMAN
ARO
Oltcit
Rocar
UTB
Avtoframos
GAZ (Volga)
IZh
Lada
Marussia
Moskvitch
Russo-Balt
UAZ
Yo-Mobile
Zil
FAP
Ikarbus
IMT
Neobus
Zastava
Zoragy
Micro
Daewoo
Hyundai
Kia
Proto
Samsung
SsangYong
Abadal
GTA
Irizar
SEAT
Tauro
Tramontana
Esther
Koenigsegg
Jösse Car
Saab
Scania
Volvo
Enzmann
Stealth
Sbarro
C-FEE
Cherdchai
Devs
Siam V.M.C.
Thai Rung
Anadol
BMC
Guleryuz Karoseri
Hattat
Karsan
Otokar
Otosan
Oyak-Renault
Temsa
Tofa?-Fiat
Turk Traktor
ABA[2]
AC
Allard
Alvis
Armstrong Siddeley
Ascari
Aston Martin
Austin
Austin-Healey
BAC
Bentley
Bristol
British Leyland
Caterham
Daimler
Elva
Ginetta
GKD
Gordon Keeble
Grinnall
Hillman
Humber
Jaguar
Jensen
Jowett
Lanchester
Land Rover
Lister
Lotus
Marcos
McLaren
MG
Mini
Morgan
Morris
Noble
Riley
Rolls Royce
Rover
Singer
Standard
Sunbeam
Triumph
Trojan
TVR
Vauxhall
Wolseley
Buick
Cadillac
Callaway
Chevrolet
Coda
Chrysler
DeLorean
Detroit Electric
Dodge
E-Z-GO
Falcon
Fisker
Ford
GEM
GMC
Hennessey
Iconic
International Harvester
Lucra
Jeep
Lincoln
Mosler
Navistar
Panoz
Ram
Rossion
Saleen
Tesla
Adams-Farwell
AMC
Apollo
Arrow
Auburn
Bates
Cord
Crosley
Davis
Duesenberg
Eagle
Edsel
Essex
Frazer
Geo
Graham-Paige
Hummer
Hupmobile
Jeffery
Kaiser
Kissel
Laforza
LaSalle
Locomobile
Marmon
Mercury
Nash
Oldsmobile
Overland
Packard
Pierce-Arrow
Plymouth
Pontiac
Rambler
Regal
REO
Saturn
Stanley
Sterling
Studebaker
Tucker
TH!NK
Willys
GM Uzbekistan
JV MAN Auto – Uzbekistan
SamAvto
Suzuki
Yamaha
honda
kawasaki
